Cores, Res, Time
6,0.16,0.02318333333338766
6,0.16,0.024216666666567712
6,0.16,0.021866666666755918
7,0.005,6.29375
7,0.005,6.337233333333521
7,0.005,6.274466666666558
7,0.005,6.311200000000099
7,0.005,6.339583333333334
7,0.005,6.564316666666612
7,0.005,6.3382833333334325
7,0.005,6.277616666666533
7,0.005,6.328916666666676
7,0.005,6.6065166666664785
7,0.01,1.5473999999999555
7,0.01,1.5343833333332442
7,0.01,1.578650000000198
7,0.01,1.5648500000000543
7,0.01,1.562233333333279
7,0.01,1.547133333333477
7,0.01,1.5455666666666124
7,0.01,1.637766666666721
7,0.01,1.536200000000099
7,0.01,1.623433333333378
7,0.02,0.4932333333332887
7,0.02,0.4820333333334323
7,0.02,0.4656166666665134
7,0.02,0.4638000000001436
7,0.02,0.4588666666665328
7,0.02,0.4573000000001533
7,0.02,0.475
7,0.02,0.46406666666662205
7,0.02,0.462233333333279
7,0.02,0.47188333333324406
7,0.04,0.08098333333352153
7,0.04,0.0807333333332887
7,0.04,0.08019999999984671
7,0.04,0.08254999999990105
7,0.04,0.080983333333279
7,0.04,0.08021666666657741
7,0.04,0.08046666666681025
7,0.04,0.08254999999990105
7,0.04,0.07968333333337796
7,0.04,0.0814999999999903
